"","Leto","Drzava","Prevozno_sredstvo","Stevilo"
"646",2010,"Belgium","Vlak",34
"647",2010,"Bulgaria","Vlak",16
"648",2010,"Croatia","Vlak",27
"649",2010,"Czechia","Vlak",48
"650",2010,"Denmark","Vlak",9
"651",2010,"Estonia","Vlak",12
"652",2010,"Finland","Vlak",13
"653",2010,"France","Vlak",69
"654",2010,"Germany (until 1990 former territory of the FRG)","Vlak",146
"655",2010,"Greece","Vlak",29
"656",2010,"Hungary","Vlak",82
"657",2010,"Ireland","Vlak",3
"658",2010,"Italy","Vlak",69
"659",2010,"Latvia","Vlak",22
"660",2010,"Lithuania","Vlak",31
"661",2010,"Luxembourg","Vlak",0
"662",2010,"Netherlands","Vlak",10
"663",2010,"Norway","Vlak",9
"664",2010,"Poland","Vlak",283
"665",2010,"Portugal","Vlak",22
"666",2010,"Romania","Vlak",139
"667",2010,"Slovakia","Vlak",58
"668",2010,"Slovenia","Vlak",14
"669",2010,"Spain","Vlak",37
"670",2010,"Sweden","Vlak",42
"671",2010,"Switzerland","Vlak",11
"672",2010,"United Kingdom","Vlak",25
"673",2011,"Austria","Vlak",35
"674",2011,"Belgium","Vlak",27
"675",2011,"Bulgaria","Vlak",37
"676",2011,"Croatia","Vlak",26
"677",2011,"Czechia","Vlak",29
"678",2011,"Denmark","Vlak",4
"679",2011,"Estonia","Vlak",9
"680",2011,"Finland","Vlak",5
"681",2011,"France","Vlak",88
"682",2011,"Germany (until 1990 former territory of the FRG)","Vlak",140
"683",2011,"Greece","Vlak",13
"684",2011,"Hungary","Vlak",84
"685",2011,"Ireland","Vlak",1
"686",2011,"Italy","Vlak",64
"687",2011,"Latvia","Vlak",13
"688",2011,"Lithuania","Vlak",26
"689",2011,"Luxembourg","Vlak",0
"690",2011,"Netherlands","Vlak",14
"691",2011,"Norway","Vlak",6
"692",2011,"Poland","Vlak",320
"693",2011,"Portugal","Vlak",14
"694",2011,"Romania","Vlak",100
"695",2011,"Slovakia","Vlak",49
"696",2011,"Slovenia","Vlak",4
"697",2011,"Spain","Vlak",25
