"";"Regija";"Placilni.razred";"Leto";"Spol";"Neto.placa"
"513";"Podravska";"17";"2017";"Moski";1583
"514";"Podravska";"18";"2009";"Moski";1558
"515";"Podravska";"18";"2010";"Moski";1434
"516";"Podravska";"18";"2011";"Moski";1362
"517";"Podravska";"18";"2012";"Moski";1336
"518";"Podravska";"18";"2013";"Moski";1370
"519";"Podravska";"18";"2014";"Moski";1398
"520";"Podravska";"18";"2015";"Moski";1423
"521";"Podravska";"18";"2016";"Moski";1546
"522";"Podravska";"18";"2017";"Moski";1542
"523";"Podravska";"19";"2009";"Moski";1621
"524";"Podravska";"19";"2010";"Moski";1636
"525";"Podravska";"19";"2011";"Moski";1619
"526";"Podravska";"19";"2012";"Moski";1559
"527";"Podravska";"19";"2013";"Moski";1502
"528";"Podravska";"19";"2014";"Moski";1507
"529";"Podravska";"19";"2015";"Moski";1478
"530";"Podravska";"19";"2016";"Moski";1454
"531";"Podravska";"19";"2017";"Moski";1587
"532";"Podravska";"20";"2009";"Moski";1929
"533";"Podravska";"20";"2010";"Moski";1761
"534";"Podravska";"20";"2011";"Moski";1684
"535";"Podravska";"20";"2012";"Moski";1659
"536";"Podravska";"20";"2013";"Moski";1662
"537";"Podravska";"20";"2014";"Moski";1679
"538";"Podravska";"20";"2015";"Moski";1606
"539";"Podravska";"20";"2016";"Moski";1609
"540";"Podravska";"20";"2017";"Moski";1719
"541";"Koroška";"01";"2009";"Moski";338
"542";"Koroška";"01";"2010";"Moski";323
"543";"Koroška";"01";"2011";"Moski";321
"544";"Koroška";"01";"2012";"Moski";392
