"Povpreène meseène plaèe po: STATISTIÈNA REGIJA, SKD DEJAVNOST, MESEC,"
"PLAÈE , MERITVE"

" ";" ";" ";"Neto plaèa";" ";" "
" ";" ";" ";"Plaèa za obdobje [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta"
"SLOVENIJA"
" ";"SKD Dejavnost"
" ";" ";"2006";804.60;4.60;99.10
" ";" ";"2007";841.38;4.69;104.60
" ";" ";"2008";884.98;4.96;105.20
" ";" ";"2009";1087.04;6.24;122.80
" ";" ";"2010";1061.64;6.17;97.70
" ";" ";"2011";1065.79;6.22;100.40
" ";" ";"2012";1061.82;6.15;99.60
" ";" ";"2013";1044.42;5.95;98.40
" ";" ";"2014";1019.69;5.81;97.60
" ";" ";"2015";1033.30;5.96;101.30
" ";" ";"2016";1042.40;6.08;101.50
" ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI"
" ";" ";"2005";778.97;4.61;107.90
" ";" ";"2006";768.62;4.62;98.70
" ";" ";"2007";729.04;4.21;94.90
" ";" ";"2008";753.10;4.33;103.30
" ";" ";"2009";852.49;5.10;113.20
" ";" ";"2010";845.47;5.18;99.20
" ";" ";"2011";906.59;5.56;107.20
" ";" ";"2012";899.23;5.49;99.20
" ";" ";"2013";888.19;5.21;98.80
" ";" ";"2014";923.58;5.25;104.00
" ";" ";"2015";944.40;5.54;102.30
" ";" ";"2016";929.13;5.55;99.50
" ";"S DRUGE DEJAVNOSTI"
" ";" ";"2005";694.00;4.09;100.30
" ";" ";"2006";673.59;4.02;97.10
" ";" ";"2007";606.74;4.05;90.10
" ";" ";"2008";676.41;4.23;111.50
" ";" ";"2009";748.70;4.45;110.70
" ";" ";"2010";738.63;4.78;98.70
" ";" ";"2011";779.76;5.05;105.60
" ";" ";"2012";757.89;4.85;97.20
" ";" ";"2013";758.34;4.69;100.10
" ";" ";"2014";793.97;5.12;104.70
" ";" ";"2015";779.40;5.02;98.20
" ";" ";"2016";766.03;5.04;98.40
"Podravska"
" ";"SKD Dejavnost"
" ";" ";"2005";684.09;4.08;107.70
" ";" ";"2006";709.01;4.13;103.60
" ";" ";"2007";773.87;4.37;109.10
" ";" ";"2008";808.39;4.57;104.50
" ";" ";"2009";861.75;5.05;106.60
" ";" ";"2010";876.14;5.33;101.70
" ";" ";"2011";902.45;5.50;103.00
" ";" ";"2012";924.76;5.46;102.50
" ";" ";"2013";920.47;5.28;99.50
" ";" ";"2014";923.79;5.29;100.40
" ";" ";"2015";925.74;5.50;100.20
" ";" ";"2016";925.19;5.54;100.10
" ";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO"
" ";" ";"2005";575.93;3.53;104.40
" ";" ";"2006";594.49;3.52;103.20
" ";" ";"2007";626.06;3.65;105.30
" ";" ";"2008";725.13;4.17;115.80
" ";" ";"2009";735.54;4.42;101.40
" ";" ";"2010";762.09;4.83;103.60
" ";" ";"2011";805.50;4.93;105.70
" ";" ";"2012";793.50;4.82;98.50
" ";" ";"2013";866.95;4.97;109.30
" ";" ";"2014";815.63;4.77;94.10
" ";" ";"2015";826.75;4.96;101.40
" ";" ";"2016";838.94;5.02;98.60
" ";"B RUDARSTVO"
" ";" ";"2005";494.90;2.91;99.70
" ";" ";"2006";601.53;3.61;121.50
" ";" ";"2007";676.91;3.75;112.50
" ";" ";"2008";794.92;4.43;117.40
