"TIME","GEO","UNIT","VEHICLE","Value","Flag and Footnotes"
"2016","Spain","Number","Buses","21",""
"2016","France","Number","Passenger cars","1,760",""
"2016","France","Number","Buses","8",""
"2016","Croatia","Number","Passenger cars","148",""
"2016","Croatia","Number","Buses",":",""
"2016","Italy","Number","Passenger cars","1,477",""
"2016","Italy","Number","Buses","0",""
"2016","Latvia","Number","Passenger cars","71",""
"2016","Latvia","Number","Buses","0",""
"2016","Lithuania","Number","Passenger cars",":",""
"2016","Lithuania","Number","Buses",":",""
"2016","Luxembourg","Number","Passenger cars","19",""
"2016","Luxembourg","Number","Buses","0",""
"2016","Hungary","Number","Passenger cars","269",""
"2016","Hungary","Number","Buses","10",""
"2016","Netherlands","Number","Passenger cars","225",""
"2016","Netherlands","Number","Buses","0",""
"2016","Austria","Number","Passenger cars","191",""
"2016","Austria","Number","Buses","1",""
"2016","Poland","Number","Passenger cars","1,417",""
"2016","Poland","Number","Buses","8",""
"2016","Portugal","Number","Passenger cars","225",""
"2016","Portugal","Number","Buses",":",""
"2016","Romania","Number","Passenger cars","785",""
"2016","Romania","Number","Buses","23",""
"2016","Slovenia","Number","Passenger cars","45",""
"2016","Slovenia","Number","Buses",":",""
"2016","Slovakia","Number","Passenger cars",":",""
"2016","Slovakia","Number","Buses",":",""
"2016","Finland","Number","Passenger cars",":",""
"2016","Finland","Number","Buses",":",""
"2016","Sweden","Number","Passenger cars","138",""
"2016","Sweden","Number","Buses","1",""
"2016","United Kingdom","Number","Passenger cars","853",""
"2016","United Kingdom","Number","Buses",":",""
"2016","Norway","Number","Passenger cars","67",""
"2016","Norway","Number","Buses","1",""
"2016","Switzerland","Number","Passenger cars","75",""
"2016","Switzerland","Number","Buses","1",""
