"Zaposlene osebe po višini neto plaèe po: STATISTIÈNA REGIJA, RAZRED"
"NETO, LETO , SPOL"

" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"SLOVENIJA"
" ";"Razred neto - SKUPAJ"
" ";" ";"2017 (zaèasni podatki)";3890;2314;1576
" ";"11"
" ";" ";"2009";4239;2627;1612
" ";" ";"2010";3879;2290;1589
" ";" ";"2011";3730;2174;1556
" ";" ";"2012";3642;2145;1497
" ";" ";"2013";3548;2016;1532
" ";" ";"2014";3543;2112;1431
" ";" ";"2015";3595;2142;1453
" ";" ";"2016";3720;2233;1487
" ";" ";"2017 (zaèasni podatki)";3808;2297;1511
" ";"12"
" ";" ";"2009";4210;2421;1789
" ";" ";"2010";3941;2262;1679
" ";" ";"2011";3612;2044;1568
" ";" ";"2012";3579;1990;1589
" ";" ";"2013";3341;1930;1411
" ";" ";"2014";3582;2157;1425
" ";" ";"2015";3467;2044;1423
" ";" ";"2016";3562;2104;1458
" ";" ";"2017 (zaèasni podatki)";3511;2055;1456
" ";"13"
" ";" ";"2009";4011;2271;1740
" ";" ";"2010";3731;2133;1598
" ";" ";"2011";3460;1874;1586
" ";" ";"2012";3344;1881;1463
" ";" ";"2013";3369;1853;1516
" ";" ";"2014";3517;2011;1506
" ";" ";"2015";3415;1942;1473
" ";" ";"2016";3454;2032;1422
" ";" ";"2017 (zaèasni podatki)";3670;2136;1534
" ";"14"
" ";" ";"2009";3921;2185;1736
" ";" ";"2010";3712;2061;1651
" ";" ";"2011";3479;1868;1611
" ";" ";"2012";3424;1861;1563
" ";" ";"2013";3148;1673;1475
" ";" ";"2014";3325;1830;1495
" ";" ";"2015";3289;1787;1502
" ";" ";"2016";3396;1913;1483
" ";" ";"2017 (zaèasni podatki)";3510;1961;1549
" ";"15"
" ";" ";"2009";3840;2067;1773
" ";" ";"2010";3744;2018;1726
" ";" ";"2011";3563;1848;1715
" ";" ";"2012";3497;1834;1663
" ";" ";"2013";3310;1675;1635
" ";" ";"2014";3348;1744;1604
" ";" ";"2015";3329;1767;1562
" ";" ";"2016";3395;1715;1680
" ";" ";"2017 (zaèasni podatki)";3498;1789;1709
" ";"16"
" ";" ";"2009";4000;2015;1985
" ";" ";"2010";3866;1997;1869
" ";" ";"2011";3753;1899;1854
" ";" ";"2012";3454;1665;1789
" ";" ";"2013";3369;1590;1779
" ";" ";"2014";3535;1738;1797
" ";" ";"2015";3337;1620;1717
" ";" ";"2016";3426;1536;1890
" ";" ";"2017 (zaèasni podatki)";3581;1662;1919
" ";"17"
" ";" ";"2009";3933;1820;2113
" ";" ";"2010";3737;1632;2105
" ";" ";"2011";3612;1498;2114
" ";" ";"2012";3504;1442;2062
" ";" ";"2013";3449;1364;2085
" ";" ";"2014";3515;1432;2083
" ";" ";"2015";3421;1420;2001
" ";" ";"2016";3545;1466;2079
" ";" ";"2017 (zaèasni podatki)";3730;1583;2147
" ";"18"
" ";" ";"2009";3921;1558;2363
